,area,pval_noshock_vs_demonstrator,pval_noshock_vs_observer,pval_demonstrator_vs_observer
109,Central lateral nucleus of the thalamus,0.185546685,0.185546685,0.449163394
110,Parafascicular nucleus,0.449107741,0.08937735,0.374563805
111,Posterior intralaminar thalamic nucleus,NA,NA,NA
112,Reticular nucleus of the thalamus,0.5,0.062600515,0.153342533
113,Intergeniculate leaflet of the lateral geniculate complex,0.125076504,0.100668243,0.30464008
114,Intermediate geniculate nucleus,NA,NA,NA
115,Ventral part of the lateral geniculate complex,0.261451617,0.062600515,0.185546685
116,Subgeniculate nucleus,0.398931354,0.153342533,0.304245631
117,Medial habenula,0.125076504,0.261451617,0.185546685
118,Lateral habenula,0.221644261,0.027642496,0.062600515
119,Pineal body,NA,NA,NA
120,Supraoptic nucleus,0.153342533,0.185546685,0.449163394
121,Nucleus circularis,NA,NA,NA
122,Paraventricular hypothalamic nucleus,0.100668243,0.089616957,0.221644261
123,Arcuate hypothalamic nucleus,0.100420434,0.089616957,0.449107741
124,Anterodorsal preoptic nucleus,0.089616957,0.006309204,0.5
125,Anterior hypothalamic area,NA,NA,NA
126,Anteroventral preoptic nucleus,0.079702497,0.079932099,0.474473753
127,Anteroventral periventricular nucleus,0.138455297,0.042095918,0.474501843
128,Dorsomedial nucleus of the hypothalamus,0.027642496,0.001082515,0.5
129,Median preoptic nucleus,0.089616957,0.062600515,0.30464008
130,Medial preoptic area,0.100668243,0.027642496,0.5
131,Vascular organ of the lamina terminalis,0.215966926,0.37279145,0.30304784
132,Posterodorsal preoptic nucleus,0.292133088,0.175365112,0.323129933
133,Parastrial nucleus,0.042095918,0.005301673,0.399148924
134,Suprachiasmatic preoptic nucleus,NA,NA,NA
135,Periventricular hypothalamic nucleus posterior part,0.054915916,0.017402782,0.30464008
136,Periventricular hypothalamic nucleus preoptic part,0.089616957,0.185546685,0.185546685
137,Subparaventricular zone,0.125076504,0.079932099,0.449163394
138,Suprachiasmatic nucleus,0.374563805,0.304443153,0.350582664
139,Subfornical organ,0.347514697,0.246456153,0.175652865
140,Ventromedial preoptic nucleus,NA,NA,NA
141,Ventrolateral preoptic nucleus,0.221644261,0.125076504,0.423920477
142,Anterior hypothalamic nucleus,0.079932099,0.036819135,0.449163394
143,Lateral mammillary nucleus,0.374430091,0.474501843,0.423587241
144,Medial mammillary nucleus,0.20285868,0.100668243,0.5
145,Supramammillary nucleus,0.079932099,0.010725367,0.261451617
146,Tuberomammillary nucleus,0.079932099,0.023700624,0.399148924
147,Medial preoptic nucleus,0.153342533,0.070641027,0.5
148,Dorsal premammillary nucleus,0.100420434,0.003613111,0.449163394
149,Ventral premammillary nucleus,0.054720213,0.010653855,0.350739054
150,Paraventricular hypothalamic nucleus descending division,0.079932099,0.020456776,0.399148924
151,Ventromedial hypothalamic nucleus,0.054915916,0.048348784,0.350739054
152,Posterior hypothalamic nucleus,0.048348784,0.007596805,0.30464008
153,Lateral hypothalamic area,0.261451617,0.010725367,0.125076504
154,Lateral preoptic area,0.185546685,0.036819135,0.221644261
155,Preparasubthalamic nucleus,0.152006499,0.010582525,0.048348784
156,Parasubthalamic nucleus,0.30464008,0.027642496,0.399148924
157,Perifornical nucleus,NA,NA,NA
158,Retrochiasmatic area,0.185546685,0.153342533,0.327182749
159,Subthalamic nucleus,0.24086034,0.153342533,0.5
160,Tuberal nucleus,0.221644261,0.048165482,0.124816013
161,Zona incerta,0.261451617,0.010725367,0.125076504
162,Median eminence,NA,NA,NA
163,Superior colliculus sensory related,0.036819135,0.005301673,0.221644261
164,Inferior colliculus,0.079932099,0.014921032,0.261451617
165,Nucleus of the brachium of the inferior colliculus,0.153342533,0.062600515,0.30464008
166,Nucleus sagulum,0.398931354,0.185283524,0.304443153
167,Parabigeminal nucleus,0.423920477,0.153342533,0.5
168,Midbrain trigeminal nucleus,0.30464008,0.100668243,0.327182749
169,Subcommissural organ,NA,NA,NA
170,Substantia nigra reticular part,0.449163394,0.185546685,0.221644261
171,Ventral tegmental area,0.30464008,0.027642496,0.079932099
172,Paranigral nucleus,NA,NA,NA
173,Midbrain reticular nucleus retrorubral area,0.399148924,0.153342533,0.079932099
174,Midbrain reticular nucleus,0.350739054,0.100668243,0.185546685
175,Superior colliculus motor related,0.125076504,0.014921032,0.221644261
176,Periaqueductal gray,0.079932099,0.014921032,0.350739054
177,Pretectal region,0.350739054,0.048348784,0.100668243
178,Intercollicular nucleus,NA,NA,NA
179,Cuneiform nucleus,0.062600515,0.048348784,0.449163394
180,Red nucleus,0.449163394,0.153342533,0.185546685
181,Oculomotor nucleus,0.047982133,0.089616957,0.350739054
182,Medial accesory oculomotor nucleus,NA,NA,NA
183,Edinger-Westphal nucleus,0.106954872,0.053151268,0.32646654
184,Trochlear nucleus,0.109571507,0.150655961,0.5
185,Paratrochlear nucleus,NA,NA,NA
186,Ventral tegmental nucleus,0.474473753,0.070421872,0.111633435
187,Anterior tegmental nucleus,0.5,0.282435419,0.185019725
188,Lateral terminal nucleus of the accessory optic tract,0.28070064,0.327004527,0.111120545
189,Dorsal terminal nucleus of the accessory optic tract,NA,NA,NA
190,Medial terminal nucleus of the accessory optic tract,NA,NA,NA
191,Substantia nigra lateral part,NA,NA,NA
192,Substantia nigra compact part,0.5,0.100668243,0.221644261
193,Pedunculopontine nucleus,0.449163394,0.153342533,0.062600515
194,Interfascicular nucleus raphe,0.168686272,0.185546685,0.327182749
195,Interpeduncular nucleus,0.20285868,0.20285868,0.449163394
196,Rostral linear nucleus raphe,0.143677465,0.08476487,0.374026371
197,Central linear nucleus raphe,0.327182749,0.185546685,0.350739054
198,Dorsal nucleus raphe,0.079012142,0.014831129,0.30464008
