,area,BL4demonstrator,BL9demonstrator,BL17demonstrator,BL22demonstrator,BL6demonstrator,BL14demonstrator,BL3demonstrator
188,Lateral terminal nucleus of the accessory optic tract,1052.5354042942,87.7112836911832,87.7112836911832,87.7112836911832,964.824120603015,1754.22567382366,2719.04979442668
189,Dorsal terminal nucleus of the accessory optic tract,0,0,0,0,0,0,0
190,Medial terminal nucleus of the accessory optic tract,0,0,0,0,0,0,0
191,"Substantia nigra, lateral part",,,,,,,
192,"Substantia nigra, compact part",6550.19466970681,256.060573468993,1387.68310783196,859.041923895975,1602.44358880595,3510.5078620749,5220.33169136785
193,Pedunculopontine nucleus,1786.91986523302,303.322425160802,1415.50465075041,412.68357164735,1467.09009720633,1844.69556526365,1514.54870794577
194,Interfascicular nucleus raphe,1990.86289204866,0,640.624197936451,315.38422052256,443.509060109851,2877.88101226836,157.69211026128
195,Interpeduncular nucleus,3778.8727056148,0,914.83025610482,496.399371920513,875.846012236717,3082.35421517135,486.003573555686
196,Rostral linear nucleus raphe,1335.08460171524,0,59.3370934095663,0,192.84555358109,1320.25032836285,29.6685467047831
197,Central linear nucleus raphe,2913.15421904527,0,3018.32224139348,757.209760907074,1072.71382795169,7992.76969846356,462.739298332101
198,Dorsal nucleus raphe,1982.7591279532,0,1124.12839448059,112.977728088501,158.168819323902,1576.03930683459,468.85757156728
